23P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
24Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
24Z:acc 0.9663, nmi 0.7755, ari 0.8685, f1 0.9628, pur 0.9663
24P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
25Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
25Z:acc 0.9663, nmi 0.7755, ari 0.8685, f1 0.9628, pur 0.9663
25P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
26Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
26Z:acc 0.9619, nmi 0.7546, ari 0.8520, f1 0.9578, pur 0.9619
26P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
27Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
27Z:acc 0.9619, nmi 0.7546, ari 0.8520, f1 0.9578, pur 0.9619
27P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
28Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
28Z:acc 0.9619, nmi 0.7546, ari 0.8520, f1 0.9578, pur 0.9619
28P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
29Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
29Z:acc 0.9619, nmi 0.7546, ari 0.8520, f1 0.9578, pur 0.9619
29P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
30Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
30Z:acc 0.9619, nmi 0.7546, ari 0.8520, f1 0.9578, pur 0.9619
30P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
31Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
31Z:acc 0.9619, nmi 0.7546, ari 0.8520, f1 0.9578, pur 0.9619
31P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
32Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
32Z:acc 0.9619, nmi 0.7546, ari 0.8520, f1 0.9578, pur 0.9619
32P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
33Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
33Z:acc 0.9619, nmi 0.7546, ari 0.8520, f1 0.9578, pur 0.9619
33P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
34Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
34Z:acc 0.9619, nmi 0.7546, ari 0.8520, f1 0.9578, pur 0.9619
34P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
35Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
35Z:acc 0.9619, nmi 0.7546, ari 0.8520, f1 0.9578, pur 0.9619
35P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
36Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
36Z:acc 0.9619, nmi 0.7546, ari 0.8520, f1 0.9578, pur 0.9619
36P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
37Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
37Z:acc 0.9619, nmi 0.7546, ari 0.8520, f1 0.9578, pur 0.9619
37P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
38Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
38Z:acc 0.9619, nmi 0.7546, ari 0.8520, f1 0.9578, pur 0.9619
38P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
39Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
39Z:acc 0.9619, nmi 0.7546, ari 0.8520, f1 0.9578, pur 0.9619
39P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
40Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
40Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
40P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
41Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
41Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
41P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
42Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
42Z:acc 0.9619, nmi 0.7546, ari 0.8520, f1 0.9578, pur 0.9619
42P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
43Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
43Z:acc 0.9619, nmi 0.7546, ari 0.8520, f1 0.9578, pur 0.9619
43P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
44Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
44Z:acc 0.9619, nmi 0.7546, ari 0.8520, f1 0.9578, pur 0.9619
44P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
45Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
45Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
45P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
46Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
